Wood Width,Wood Thickness,Iron Width,Iron Thickness,Edge Distance,Bolt Diameter,Bolt Number,Bolt Type,Load Ratio,Weight,Fire Resistance Time,Load carrying capacity
320.1198335,200.2216325,161.5495987,6,108.5972805,6.233651625,4.203757042,1,10,-152.7866669,18.12604231,-19465.70769
320.8552479,200.2216325,161.5495987,6,113.453319,6.419139054,5.3419118,1,10,-152.7866669,18.30626937,-26050.79494
320.1198335,200.2216325,161.5495987,6,108.5972805,7.229070375,5.352649233,1,10,-152.7866669,18.42308585,-32188.12593
320.8552479,200.2216325,161.5495987,6.09136003,110.3751134,7.145983771,5.603622705,1,10,-152.7866669,18.51040531,-33018.20178
320.8552479,200.2216325,173.9755198,6,108.5972805,7.432369442,5.713551831,1,10,-152.7866669,18.72896786,-36077.58045
320.8552479,200.2216325,173.876738,6,108.5972805,8.399370053,4.823266262,1,10,-152.7866669,18.79049263,-37757.83582
320.8552479,200.4712403,172.1698201,6.022257766,108.5972805,8.399370053,5.886513647,1,10,-152.7866669,18.98715531,-46081.22457
320.8552479,200.2216325,170.0549923,6,108.5972805,9.186336824,5.262735064,1,10,-152.7866669,19.00050015,-48196.54426
320.8552479,200.2216325,170.0549923,6,108.5972805,9.186336824,5.390514874,1,10,-152.7866669,19.02802384,-49366.76187
320.8552479,200.2216325,161.5495987,6,108.5972805,10.19130253,4.931708975,1,10,-152.7866669,19.05185684,-54143.03877
320.8552479,200.2216325,161.5495987,6,109.4042182,10.19130253,5.352649233,1,10,-152.7866669,19.16345048,-58764.35459
320.8552479,200.2216325,161.5495987,6,108.5972805,10.19130253,5.352649233,1,10,-152.7866669,19.16345048,-58764.35459
320.1198335,200.2216325,161.5495987,6,108.5972805,10.19130253,5.643721005,1,10,-152.7866669,19.20527624,-61959.90207
320.8552479,200.2216325,161.5495987,6,108.5972805,10.19130253,5.673044128,1,10,-152.7866669,19.24838897,-62281.82759
320.1198335,200.2216325,161.5495987,6,114.9221344,11.41782332,4.713897862,1,10,-152.7866669,19.27767292,-63063.17814
320.8552479,200.2216325,161.5495987,6,108.5972805,10.19130253,5.873189115,1,10,-152.7866669,19.30144853,-64479.13036
320.8552479,200.2216325,172.1698201,6,108.5972805,10.19130253,5.942946416,1,10,-152.7866669,19.47287277,-65244.96474
320.4316654,200.4083336,171.2460885,6,105.1548819,12.12800323,4.594217728,1,10,-152.7866669,19.60449431,-68238.59977
320.8552479,200.2216325,173.9755198,6.09136003,109.8814549,10.46232831,5.979763942,1,10,-152.7866669,19.63259542,-68721.16229
320.8552479,200.2216325,161.5495987,6,105.1548819,12.59331301,4.931708975,1,10,-152.7866669,19.7407845,-78179.75497
320.1198335,200.2216325,161.5495987,6.09136003,108.5972805,12.12800323,5.603622705,1,10,-152.7866669,19.84880159,-83231.44216
320.8552479,200.2216325,173.9755198,6,110.3751134,12.12800323,5.932437617,1,10,-152.7866669,20.15062854,-88115.37898
320.6552133,200.4083336,176.3173559,6,113.453319,12.26097304,5.924779476,1,10,-152.7866669,20.23736329,-89678.02243
320.8552479,200.2216325,172.1698201,6,108.5972805,12.54746347,5.886513647,1,10,-152.7866669,20.26290044,-92729.4301
320.8552479,200.2216325,173.9755198,6,108.5972805,12.54746347,5.924779476,1,10,-152.7866669,20.30427991,-93332.22638
320.8552479,234.5122727,197.115044,6.408756263,115.2686674,12.57286591,5.979763942,1,10,-152.7866669,23.91279925,-94528.20482
320.8552479,200.2216325,161.5495987,6,101.5889863,6.991596276,5.886513647,1,10,-152.6112823,18.47889682,-33375.60948
320.8552479,200.2216325,161.5495987,6,101.5889863,6.991596276,5.924779476,1,10,-152.6112823,18.48367127,-33592.57073
320.8552479,200.2216325,161.5495987,6,101.5889863,7.432369442,5.932437617,1,10,-152.6112823,18.58089714,-37459.71012
320.8552479,200.2216325,170.0549923,6.09136003,101.5889863,8.765120434,5.3419118,1,10,-152.6112823,18.95197657,-45062.3567
320.1198335,200.2216325,161.5495987,6,101.5889863,10.19130253,5.262735064,1,10,-152.6112823,19.10427472,-57777.22692
320.8552479,200.2216325,161.5495987,6,101.5889863,10.37404062,5.643721005,1,10,-152.6112823,19.29475174,-63908.89125
320.1198335,200.2216325,173.9755198,6,101.5889863,12.59331301,5.673044128,1,10,-152.6112823,20.18447058,-89931.7462
320.1198335,206.9826942,172.1698201,6,101.5889863,12.54746347,5.932437617,1,10,-152.6112823,20.84477424,-93452.86401
320.8552479,234.5122727,197.115044,6.070407964,101.5889863,12.57286591,5.979763942,1,10,-152.6112823,23.75072623,-94528.20482
320.8552479,200.2216325,160.6768151,6.09136003,124.6670415,6.123662405,5.575783569,1,10,-151.8389435,18.30090417,-25019.39176
320.8552479,200.2216325,161.5495987,6,124.6670415,6.796460712,4.931708975,1,10,-151.8389435,18.32589673,-26600.83323
320.8552479,200.2216325,161.5495987,6,124.6670415,6.796460712,5.979763942,1,10,-151.8389435,18.44946565,-32253.87065
320.8552479,200.2216325,161.5495987,6,124.6670415,10.37404062,5.122938053,1,10,-151.8389435,19.15169372,-58011.60097
320.8552479,200.2216325,173.9755198,6,114.9221344,20,4.931708975,1,10,-151.5740204,22.95856952,-171976.444
320.8552479,200.2216325,170.0549923,6,105.1548819,20,5.3419118,1,10,-151.5740204,23.32092505,-186280.8613
320.1198335,200.2216325,161.5495987,6,108.5972805,20,5.603622705,1,10,-151.5740204,23.43031141,-195407.1319
320.8552479,200.2216325,161.5495987,6,105.1548819,20,5.643721005,1,10,-151.5740204,23.5065902,-196805.4226
320.8552479,200.2216325,170.7549084,6,109.8814549,20,5.673044128,1,10,-151.5740204,23.66908514,-197827.966
320.1198335,200.2216325,161.5495987,6,105.1548819,20,5.942946416,1,10,-151.5740204,23.77675599,-207239.8831
320.8552479,200.2216325,161.5495987,6,105.1548819,20,5.979763942,1,10,-151.5740204,23.84968516,-208523.7681
320.1198335,201.6636864,172.1698201,6,109.8814549,19.99448046,4.057034399,1,10,-151.5592804,22.14208012,-141409.7733
320.8552479,200.2216325,170.0549923,6,107.5757812,19.67326791,4.713897862,1,10,-151.5592804,22.52376609,-159904.4195
320.8552479,200.2216325,161.5495987,6.022257766,117.5056236,19.58474655,4.965670075,1,10,-151.5592804,22.6148632,-167175.2329
320.8552479,200.2216325,172.1698201,6.022257766,105.1548819,19.94569932,4.823266262,1,10,-151.5592804,22.80461031,-167430.5839
320.8552479,200.2216325,172.1698201,6,108.5972805,19.83366901,4.931708975,1,10,-151.5592804,22.84916467,-169586.5843
320.8552479,200.6500179,167.3618701,6,114.9221344,19.51257516,5.262735064,1,10,-151.5592804,22.98636436,-176081.7404
320.1198335,200.2216325,161.5495987,6.070407964,109.8814549,19.83366901,5.352649233,1,10,-151.5592804,23.11177914,-184061.4491
320.8552479,200.2216325,170.0549923,6,110.3751134,19.94569932,5.352649233,1,10,-151.5592804,23.3022529,-185807.1145
320.8552479,200.2216325,170.0549923,6,110.7759894,19.99448046,5.34874798,1,10,-151.5592804,23.32489089,-186433.0358
320.8552479,200.2216325,170.0549923,6,110.7759894,19.99448046,5.352649233,1,10,-151.5592804,23.32887181,-186569.0157
320.8552479,200.2216325,161.5495987,6,109.8814549,19.83366901,5.643721005,1,10,-151.5592804,23.41114621,-194070.5286
320.8552479,200.2216325,161.5495987,6,110.7759894,19.99448046,5.643721005,1,10,-151.5592804,23.50341019,-196714.4543
320.8552479,200.2216325,161.5495987,6,108.5972805,19.99448046,5.673044128,1,10,-151.5592804,23.53333215,-197736.5251
320.6552133,200.4083336,171.2460885,6.022257766,113.453319,19.53111574,5.924779476,1,10,-151.5592804,23.67238682,-198548.8679
320.1198335,200.2216325,161.5495987,6,107.5757812,19.99448046,5.924779476,1,10,-151.5592804,23.75486943,-206510.8747
320.8552479,200.2216325,161.5495987,6,101.5889863,20,5.673044128,1,10,-151.3986359,23.53652868,-197827.966
320.1198335,200.2216325,172.1698201,6,101.5889863,19.83366901,4.203757042,1,10,-151.3838959,22.08290809,-144554.5148
320.1198335,200.2216325,172.1698201,6,101.5889863,19.99448046,4.203757042,1,10,-151.3838959,22.15163143,-146523.8575
320.8552479,200.2216325,170.0549923,6.022257766,101.5889863,19.99448046,5.122938053,1,10,-151.3838959,23.10383984,-178562.3284
320.8552479,200.2216325,161.5495987,6,101.5889863,19.86786181,5.873189115,1,10,-151.3838959,23.66189968,-202545.1855
320.1198335,200.2216325,161.5495987,6,105.1548819,6,7.928430095,1,10,-151.2680511,18.43762706,-34315.94138
320.1198335,200.2216325,161.5495987,6,108.5972805,6.233651625,7.817859032,1,10,-151.2680511,18.48450589,-36200.9881
320.1198335,200.2216325,161.5495987,6,108.5972805,6.233651625,7.877970662,1,10,-151.2680511,18.49046804,-36479.33802
320.1198335,200.2216325,161.5495987,6,105.1548819,6.599462341,7.817859032,1,10,-151.2680511,18.57818352,-40035.97972
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,7.45307705,1,10,-151.2680511,18.70326269,-44819.03674
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,7.707539422,1,10,-151.2680511,18.73720552,-46349.24478
320.1198335,200.2216325,161.5495987,6,108.5972805,7.229070375,7.734919661,1,10,-151.2680511,18.74085778,-46513.89569
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,7.734919661,1,10,-151.2680511,18.74085778,-46513.89569
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,7.758316119,1,10,-151.2680511,18.74397865,-46654.59016
320.1198335,200.2216325,161.5495987,6,105.1548819,7.432369442,7.45307705,1,10,-151.2680511,18.75996585,-47061.6168
320.1198335,200.2216325,161.5495987,6,105.1548819,7.229070375,7.893458048,1,10,-151.2680511,18.76200528,-47467.26539
320.8552479,200.2216325,161.5495987,6,113.453319,9.555682752,6.652478984,1,10,-151.2680511,19.29491429,-65270.62825
320.8552479,200.2216325,161.8657318,6,108.5972805,10.19130253,6.122752284,1,10,-151.2680511,19.37216145,-67218.97337
320.8552479,200.2216325,161.5495987,6,108.5972805,9.308429381,7.877970662,1,10,-151.2680511,19.48674829,-73832.55441
320.8552479,200.2216325,161.5495987,6,108.5972805,10.19130253,6.979214923,1,10,-151.2680511,19.59466221,-76621.69565
320.8552479,200.2216325,161.5495987,6.022257766,105.1548819,9.555682752,7.923858916,1,10,-151.2680511,19.59996341,-77744.7401
320.1198335,200.2216325,161.5495987,6,108.5972805,10.19130253,7.817859032,1,10,-151.2680511,19.78165248,-85828.79622
320.1198335,200.2216325,161.5495987,6,109.8814549,10.19130253,7.928430095,1,10,-151.2680511,19.8109655,-87042.70673
320.1198335,200.2216325,161.5495987,6,114.9221344,10.19130253,7.928430095,1,10,-151.2680511,19.8109655,-87042.70673
320.1198335,200.2216325,161.5495987,6,107.5757812,11.40409131,7.265828589,1,10,-151.2680511,20.12103173,-97000.45128
320.8552479,200.2216325,161.5495987,6,107.5757812,11.40409131,7.923858916,1,10,-151.2680511,20.37480807,-105785.3046
320.8552479,200.2216325,170.0549923,6,117.5056236,11.40871294,7.923858916,1,10,-151.2680511,20.49941815,-105859.723
320.6203883,200.2216325,161.5495987,6,117.5056236,12.20383043,7.554352799,1,10,-151.2680511,20.60491402,-113422.883
320.8552479,200.2216325,161.5495987,6.070407964,109.8814549,12.12800323,7.928430095,1,10,-151.2680511,20.74888077,-117762.1524
320.8552479,200.2216325,161.5495987,6.022257766,108.5972805,12.20383043,7.928430095,1,10,-151.2680511,20.76719906,-119039.3702
