Number,$W_{t}$,t,$W_{s}$,$\delta$,d,n,$e_{d}$,C,$\eta$,Fire resistance
1,150,45,130,6,12,4,50,1,46.6,17.5
2,150,45,130,6,5,32,50,0,20,25.8
3,150,45,130,6,12,5,35,1,38,16.5
4,190,60,190,9.5,19.1,1,95,1,10,27
5,190,60,190,9.5,19.1,1,95,1,30,15
6,140,38,140,9.5,12.7,2,47.25,1,30,8
7,140,38,140,9.5,12.7,2,38.25,1,30,8.5
8,140,38,140,9.5,12.7,2,38.25,1,10,15
9,140,38,140,9.5,12.7,2,38.25,1,10,14.5
10,190,60,190,9.5,12.7,4,38.25,1,11,28
11,190,60,190,9.5,12.7,4,63.25,1,18,22.5
12,190,60,190,9.5,12.7,4,63.25,1,29,17.5
13,190,60,190,9.5,19.1,4,63.25,1,10,26
14,190,60,190,9.5,19.1,4,47.25,1,30,14
15,190,80,190,9.5,19.1,4,47.25,1,10,36.5
16,190,80,190,9.5,19.1,4,47.25,1,10,43
17,190,80,190,9.5,19.1,4,47.25,1,29,19
18,200,100,190,15,6.3,18,20,0,30,32
19,200,100,190,15,6.3,18,20,0,30,34
20,200,100,190,15,6.3,18,20,0,15,38
21,200,100,190,15,6.3,18,20,0,15,34.5
22,200,100,190,15,6.3,18,20,0,7.5,41.5
23,280,140,190,15,6.3,18,60,0,30,73
24,280,140,190,15,6.3,18,60,0,30,73
25,200,100,190,15,6.3,27,20,0,30,30.5
26,200,100,190,15,6.3,27,20,0,30,32
27,200,100,190,15,6.3,9,50,0,30,32
28,200,100,190,15,6.3,9,50,0,30,33
29,200,100,190,10,12,8,40,0,30,34.5
30,200,100,190,10,12,8,40,0,30,35
31,240,60,151.7108434,6,20,6,76.93333333,1,37,22
32,240,60,151.7108434,6,20,6,76.93333333,1,75,15
33,400,60,151.7108434,6,20,16,76.93333333,1,37,23
34,400,60,151.7108434,6,20,16,76.93333333,1,73,16
35,170,50,151.7108434,6,12,4,76.93333333,1,46,17
36,170,50,151.7108434,6,12,4,76.93333333,1,91,10
37,170,50,151.7108434,6,12,8,76.93333333,1,41,18
38,170,50,151.7108434,6,12,8,76.93333333,1,83,11
39,240,50,151.7108434,6,12,16,76.93333333,1,40,18
40,240,50,151.7108434,6,12,16,76.93333333,1,80,13
41,252,76,114,8,16,8,88,0,10,55.5
42,252,76,114,8,16,8,94,0,20,41
43,252,76,114,8,16,8,94,0,30,36
44,254,76,114,8,16,8,94,0,30,36
45,292,75,143,10,20,8,87.5,0,10,52
46,292,75,143,10,20,8,106.5,0,30,37
47,212,77,87,6,12,8,122.5,0,10,54
48,212,77,87,6,12,8,82.5,0,30,39
49,288,100,143,10,20,8,66.5,0,10,90
50,288,100,143,10,20,8,104.5,0,30,45
51,260,150,114,10,16,8,98,0,10,91
52,300,200,114,10,16,8,118,0,10,121
53,260,200,114,10,16,8,98,0,30,89
54,286,131,214,12,12,16,71,0,10,81
55,286,131,214,12,12,16,71,0,10,79
56,286,131,214,12,12,16,71,0,30,64
57,308,166,214,12,12,16,82,0,10,105
58,308,166,214,12,12,16,82,0,10,104
59,308,166,214,12,12,16,82,0,30,82
60,308,166,214,12,12,16,82,0,30,85
61,314,196,214,12,12,16,85,0,10,118
62,314,196,214,12,12,16,85,0,30,98
63,342,236,214,12,12,16,99,0,10,150
64,342,236,214,12,12,16,99,0,30,134
65,254,75,151.7108434,8,16,8,48,0,10,55.5
